Marca temporal,"Programa académico (Si hace doble carrera, escoja su carrera principal)",¿Cuántos días por semana utilizas herramientas de IA generativa para temas académicos?,"¿Hace cuántos meses aproximadamente empezaste a usar IA generativa para tus estudios? 
(Ponga su respuesta en números enteros, por favor)","De cada 10 trabajos o tareas académicas que entregas, ¿en cuántos usas IA generativa? ",¿Cuál es tu promedio académico acumulado actual?,¿Qué IA generativa utilizas con mayor regularidad? ,"Cuando utilizas IA para trabajos escritos, tu acción principal suele ser: ","¿Sueles verificar en fuentes externas (libros, bases de datos) la información o respuestas que genera la IA? ","En una escala del 1 al 10, ¿cómo calificarías tu nivel de dependencia de la IA para entregar tus trabajos a tiempo? "
20/3/2026 10:12:04,Ingeniería de Sistemas,4,18,8,4.1,Claude,Usarlo como base y reescribirlo,A veces,7
20/3/2026 10:13:30,Ingeniería de Sistemas,3,24,4,3.9,Deepseek,Pedirle que evalúe y retroalimente un texto mío,A veces,4
20/3/2026 10:14:30,Ingeniería de Sistemas,6,18,6,4.6,Claude,Pedirle que evalúe y retroalimente un texto mío,Siempre,7
20/3/2026 10:15:13,Ingeniería de Sistemas,5,16,10,4.4,ChatGPT,Pedirle que evalúe y retroalimente un texto mío,A veces,8
20/3/2026 10:15:31,Ingeniería Industrial,3,12,4,4.2,Gemini,Pedirle que evalúe y retroalimente un texto mío,Siempre,4
20/3/2026 10:15:48,Ingeniería de Sistemas,7,24,10,3.4,Claude,Copiar y pegar directamente el texto generado,Nunca,10
20/3/2026 10:16:17,Ingeniería Industrial,4,15,7,4.3,Deepseek,Usarlo como base y reescribirlo,A veces,5
30/5/2026 16:49:37,Ingeniería de Sistemas,6,12,8,4.3,Claude,Usarlo como base y reescribirlo,A veces,8
30/5/2026 16:49:38,Ingeniería de Sistemas,7,14,9,4,ChatGPT,Copiar y pegar directamente el texto generado,Nunca,9
30/5/2026 16:49:38,Ingeniería de Sistemas,5,10,7,4.1,Claude,Usarlo como base y reescribirlo,A veces,7
30/5/2026 16:49:39,Ingeniería Industrial,3,8,5,3.9,Claude,Pedirle que evalúe y retroalimente un texto mío,Siempre,5
30/5/2026 16:49:40,Ingeniería de Sistemas,6,11,8,4.2,ChatGPT,Usarlo como base y reescribirlo,A veces,8
30/5/2026 16:49:40,Ingeniería de Sistemas,7,15,9,3.7,ChatGPT,Copiar y pegar directamente el texto generado,Nunca,9
30/5/2026 16:49:41,Ingeniería de Sistemas,2,6,3,4.2,Gemini,Pedirle que evalúe y retroalimente un texto mío,Siempre,3
30/5/2026 16:49:41,Ingeniería de Sistemas,5,9,7,4,Claude,Usarlo como base y reescribirlo,A veces,7
30/5/2026 16:49:42,Ingeniería de Sistemas,6,13,8,4.4,Claude,Usarlo como base y reescribirlo,A veces,8
20/3/2026 16:15:00,Química Farmacéutica,3,7,4,4.1,ChatGPT,Usarlo como base y reescribirlo,A veces,4
20/3/2026 16:16:00,Química Farmacéutica,5,11,6,4.3,Claude,Pedirle que evalúe y retroalimente un texto mío,Siempre,5
20/3/2026 16:17:00,Química Farmacéutica,2,5,3,3.9,ChatGPT,Solo consultar ideas generales,A veces,3
20/3/2026 16:18:00,Química Farmacéutica,6,14,7,4.5,ChatGPT,Usarlo como base y reescribirlo,Casi siempre,7
20/3/2026 16:20:00,Química Farmacéutica,1,3,2,3.8,Copilot,Pedirle que corrija redacción y claridad,Siempre,2
20/3/2026 16:21:00,Química Farmacéutica,4,9,5,4,Claude,Pedirle que evalúe y retroalimente un texto mío,A veces,5
20/3/2026 16:22:00,Química Farmacéutica,7,18,8,4.4,ChatGPT,Usarlo como base y reescribirlo,Nunca,8
20/3/2026 16:24:00,Química Farmacéutica,3,12,4,4.2,Gemini,Pedir ejemplos para entender un tema,Casi siempre,4
20/3/2026 16:25:00,Química Farmacéutica,5,6,6,3.7,ChatGPT,Copiar y pegar directamente el texto generado,Nunca,7
20/3/2026 16:26:00,Química Farmacéutica,2,10,3,4.6,Claude,Pedirle que corrija redacción y claridad,Siempre,3
20/3/2026 16:26:00,Química Farmacéutica,6,15,7,4.1,ChatGPT,Pedir ejemplos para entender un tema,A veces,6
14/4/2026 11:17:57,Diseño Industrial,3,6,5,3.9,Claude,Pedirle que corrija redacción y claridad,Casi siempre,6
14/4/2026 11:22:44,Diseño Industrial,1,4,1,3.8,Notebook LM,Pedir ejemplos para entender un tema,Nunca,1
14/4/2026 11:23:51,Diseño Industrial,4,11,4,3.8,Notebook LM,Pedirle que evalúe y retroalimente un texto mío,Siempre,3
14/4/2026 11:24:10,Diseño Industrial,3,24,4,3.9,Gemini,Solo consultar ideas generales,A veces,2
14/4/2026 11:24:26,Diseño Industrial,2,5,1,4.7,Claude,Pedir ejemplos para entender un tema,Siempre,1
14/4/2026 11:30:44,Diseño Industrial,3,1,1,4.3,DeepSeek,Pedir ejemplos para entender un tema,A veces,1
14/4/2026 11:31:05,Diseño Industrial,3,18,5,3.4,Copilot,Pedirle que corrija redacción y claridad,Siempre,4
14/4/2026 11:31:54,Diseño Industrial,2,20,4,4.1,ChatGPT,Pedirle que evalúe y retroalimente un texto mío,A veces,5
14/4/2026 11:32:44,Diseño Industrial,5,14,5,4.1,DeepSeek,Pedir ejemplos para entender un tema,Siempre,7
14/4/2026 11:34:06,Diseño Industrial,4,1,5,4.1,DeepSeek,Copiar y pegar directamente el texto generado,A veces,7
14/4/2026 11:34:17,Diseño Industrial,2,12,2,4.5,Copilot,Pedirle que corrija redacción y claridad,Casi siempre,1
14/4/2026 11:35:15,Diseño Industrial,4,12,3,3.7,Claude,Copiar y pegar directamente el texto generado,Casi siempre,4
17/4/2025 14:50:19,Ingeniería de Sistemas,5,3,7,4.5,Notebook LM,Usarlo como base y reescribirlo,Siempre,6
17/4/2025 14:50:24,Ingeniería Industrial,4,5,2,3.6,Claude,Pedirle que evalúe y retroalimente un texto mío,Casi siempre,2
17/4/2025 14:53:51,Ingeniería Bioquímica,1,10,2,3.9,Claude,Copiar y pegar directamente el texto generado,Casi siempre,1
17/4/2025 14:54:09,Ingeniería de Sistemas,3,1,3,4.7,Notebook LM,Usarlo como base y reescribirlo,A veces,1
17/4/2025 14:59:22,Ingeniería de Sistemas,1,8,1,3.75,Notebook LM,Copiar y pegar directamente el texto generado,Casi siempre,2
17/4/2025 14:59:36,Ingeniería en Energía Inteligente,5,14,4,3.4,Claude,Copiar y pegar directamente el texto generado,A veces,4
17/4/2025 15:01:11,Ingeniería Industrial,6,20,5,3.9,ChatGPT,Copiar y pegar directamente el texto generado,Siempre,8
17/4/2025 15:01:28,Ingeniería Industrial,5,12,4,4.5,Claude,Pedir ejemplos para entender un tema,Nunca,6
17/4/2025 15:01:43,Ingeniería Industrial,6,6,5,4.4,Claude,Solo consultar ideas generales,A veces,6
17/4/2025 15:01:51,Biología,6,10,7,4.4,Gemini,Pedir ejemplos para entender un tema,Nunca,8
17/4/2025 15:01:52,Ingeniería Industrial,4,6,5,4.3,Perplexity,Usarlo como base y reescribirlo,A veces,4
17/4/2025 15:02:04,Diseño Industrial,3,1,9,4.26,Copilot,Solo consultar ideas generales,Siempre,8
17/4/2025 15:05:37,Medicina Veterinaria y Zootecnia,3,2,2,3.4,Copilot,Usarlo como base y reescribirlo,Nunca,4
17/4/2025 15:05:58,Ingeniería Industrial,1,1,3,4.3,Copilot,Copiar y pegar directamente el texto generado,Casi siempre,2
17/4/2025 15:08:15,Ingeniería Industrial,4,4,5,4.1,Copilot,Pedirle que evalúe y retroalimente un texto mío,A veces,2
17/4/2025 15:10:49,Ingeniería de Sistemas,2,1,3,4.1,Claude,Copiar y pegar directamente el texto generado,Nunca,2
17/4/2025 15:11:50,Ingeniería de Sistemas,5,5,3,4.1,Claude,Pedirle que corrija redacción y claridad,Siempre,3
17/4/2026 15:11:53,Ingeniería de Sistemas,2,8,1,3.69,ChatGPT,Pedirle que corrija redacción y claridad,Nunca,2
17/4/2026 15:12:14,Ingeniería de Sistemas,2,4,2,4.1,Copilot,Solo consultar ideas generales,Nunca,1
17/4/2026 15:12:33,Diseño de Medios Interactivos,5,5,4,4.2,Copilot,Usarlo como base y reescribirlo,Nunca,6
17/4/2026 15:12:51,Ingeniería de Sistemas,2,3,2,4.4,Claude,Pedir ejemplos para entender un tema,Nunca,1
21/4/2026 11:48:09,Ingeniería Bioquímica,3,11,4,3.74,ChatGPT,Solo consultar ideas generales,Siempre,2
21/4/2026 11:48:20,Ingeniería Bioquímica,3,24,1,4,Perplexity,Copiar y pegar directamente el texto generado,Siempre,4
21/4/2026 11:49:15,Ingeniería Bioquímica,1,18,2,4.1,ChatGPT,Pedirle que corrija redacción y claridad,Casi siempre,2
21/4/2026 11:49:36,Ingeniería Bioquímica,2,1,1,3.8,Gemini,Pedirle que corrija redacción y claridad,Siempre,4
21/4/2026 11:49:59,Ingeniería Bioquímica,4,1,8,3.9,Copilot,Pedir ejemplos para entender un tema,Nunca,8
21/4/2026 11:50:38,Ingeniería Bioquímica,3,3,4,3.9,ChatGPT,Pedirle que corrija redacción y claridad,Nunca,6
21/4/2026 11:53:46,Ingeniería Bioquímica,4,24,5,4,Claude,Solo consultar ideas generales,Nunca,2
21/4/2026 11:53:59,Ingeniería Bioquímica,3,6,4,3.6,Copilot,Solo consultar ideas generales,A veces,2
21/4/2026 11:54:41,Ingeniería Bioquímica,4,12,3,3.78,Claude,Pedirle que evalúe y retroalimente un texto mío,A veces,2
21/4/2026 11:54:50,Ingeniería Bioquímica,6,18,7,4.4,Perplexity,Pedirle que corrija redacción y claridad,Siempre,6
21/4/2026 11:55:25,Ingeniería Bioquímica,4,2,5,3.8,ChatGPT,Pedir ejemplos para entender un tema,A veces,6
28/4/2026 17:35:45,Ingeniería Telemática,6,28,7,4.4,Copilot,Pedirle que corrija redacción y claridad,Casi siempre,8
28/4/2026 17:36:28,Ingeniería de Sistemas,5,24,6,4.1,ChatGPT,Solo consultar ideas generales,A veces,6
28/4/2026 17:36:53,Ingeniería Telemática,6,27,7,4,Claude,Solo consultar ideas generales,A veces,6
28/4/2026 17:37:54,Ingeniería Telemática,7,25,5,4.1,Claude,Copiar y pegar directamente el texto generado,Nunca,5
28/4/2026 17:41:24,Ingeniería de Sistemas,3,33,1,3.7,ChatGPT,Pedirle que evalúe y retroalimente un texto mío,A veces,2
28/4/2026 17:50:36,Ingeniería de Sistemas,3,30,2,3.8,Claude,Pedirle que corrija redacción y claridad,Nunca,1
